"transaction_id","customer_id","product_id","timestamp","quantity","product_name","product_category","price","join_date","customer_location","total_price"
TRX0001,CUST001,PROD005,2023-01-20 10:05:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-01-15,Jakarta,300000.0
TRX0002,CUST002,PROD002,2023-01-22 14:30:00.000,1,Smartphone X,Elektronik,8500000.0,2023-01-20,Surabaya,8500000.0
TRX0003,CUST001,PROD003,2023-02-01 09:15:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-01-15,Jakarta,250000.0
TRX0004,CUST003,PROD011,2023-02-08 18:45:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-02-05,Bandung,95000.0
TRX0005,CUST005,PROD001,2023-03-05 11:20:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-03-01,Jakarta,15000000
TRX0006,CUST004,PROD008,2023-03-10 20:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2023-02-10,Medan,750000.0
TRX0007,CUST006,PROD009,2023-03-15 13:10:00.000,1,Matras Yoga,Olahraga,300000.0,2023-03-12,Yogyakarta,300000.0
TRX0008,CUST002,PROD005,2023-03-25 16:50:00.000,3,T-Shirt Katun,Pakaian,150000.0,2023-01-20,Surabaya,450000.0
TRX0009,CUST008,PROD006,2023-04-25 19:22:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-02-19,NaN,350000.0
TRX0010,CUST007,PROD015,2023-05-01 12:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2023-01-28,Surabaya,400000.0
TRX0011,CUST010,PROD017,2023-05-28 08:30:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2023-03-25,Jakarta,600000.0
TRX0012,CUST001,PROD022,2023-06-02 10:11:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2023-01-15,Jakarta,300000.0
TRX0013,CUST009,PROD014,2023-06-10 14:05:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2023-03-09,Semarang,550000.0
TRX0014,CUST012,PROD007,2023-06-22 17:40:00.000,1,Celana Jeans,Pakaian,450000.0,2023-04-19,Medan,450000.0
TRX0015,CUST005,PROD003,2023-07-01 21:25:00.000,2,Wireless Mouse,Elektronik,250000.0,2023-03-01,Jakarta,500000.0
TRX0016,CUST011,PROD024,2023-07-08 09:55:00.000,2,Botol Minum 1L,Olahraga,80000.0,2023-04-07,Makassar,160000.0
TRX0017,CUST013,PROD012,2023-07-18 11:10:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2023-05-03,Yogyakarta,120000.0
TRX0018,CUST015,PROD002,2023-08-05 15:30:00.000,1,Smartphone X,Elektronik,8500000.0,2023-06-01,Surabaya,8500000.0
TRX0019,CUST002,PROD018,2023-08-15 18:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2023-01-20,Surabaya,400000.0
TRX0020,CUST014,PROD005,2023-08-20 10:40:00.000,5,T-Shirt Katun,Pakaian,150000.0,2023-05-15,Jakarta,750000.0
TRX0021,CUST017,PROD016,2023-09-10 13:20:00.000,1,Sprei Katun Jepang,Rumah Tangga,250000.0,2023-07-04,Semarang,250000.0
TRX0022,CUST016,PROD028,2023-09-15 16:00:00.000,1,Topi Baseball,Pakaian,120000.0,2023-06-11,Bandung,120000.0
TRX0023,CUST001,PROD011,2023-09-25 19:45:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-01-15,Jakarta,95000.0
TRX0024,CUST019,PROD010,2023-10-10 09:00:00.000,2,Dumbbell 5kg,Olahraga,200000.0,2023-08-05,Makassar,400000.0
TRX0025,CUST018,PROD004,2023-10-18 12:30:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2023-07-21,Jakarta,800000.0
